date,NIFTY50,SENSEX,BANKNIFTY,NIFTY500
1997-07-31,,4305.7598,,
1997-08-31,,3876.0801,,
1997-09-30,,3902.0300,,
1997-10-31,,3803.2400,,
1997-11-30,,3560.2900,,
1997-12-31,,3658.9800,,
1998-01-31,,3224.3601,,
1998-02-28,,3622.2200,,
1998-03-31,,3892.7500,,
1998-04-30,,4006.8101,,
1998-05-31,,3686.3899,,
1998-06-30,,3250.6899,,
1998-07-31,,3211.3101,,
1998-08-31,,2933.8501,,
1998-09-30,,3102.2900,,
1998-10-31,,2812.4900,,
1998-11-30,,2810.6599,,
1998-12-31,,3055.4099,,
1999-01-31,,3315.5701,,
1999-02-28,,3233.8601,,
1999-03-31,,3739.9600,,
1999-04-30,,3325.6899,,
1999-05-31,,3966.0701,,
1999-06-30,,4140.7300,,
1999-07-31,,4542.3398,,
1999-08-31,,4898.2100,,
1999-09-30,,4764.4199,,
1999-10-31,,4444.5601,,
1999-11-30,,4622.2100,,
1999-12-31,,5005.8198,,
2000-01-31,,5205.2900,,
2000-02-29,,5447.4702,,
2000-03-31,,5001.2798,,
2000-04-30,,4657.5498,,
2000-05-31,,4433.6099,,
2000-06-30,,4748.7700,,
2000-07-31,,4279.8599,,
2000-08-31,,4477.3101,,
2000-09-30,,4090.3799,,
2000-10-31,,3711.0200,,
2000-11-30,,3997.9900,,
2000-12-31,,3972.1201,,
2001-01-31,,4326.7202,,
2001-02-28,,4247.0400,,
2001-03-31,,3604.3799,,
2001-04-30,,3519.1599,,
2001-05-31,,3631.9099,,
2001-06-30,,3456.7800,,
2001-07-31,,3329.2800,,
2001-08-31,,3244.9500,,
2001-09-30,,2811.6001,,
2001-10-31,,2989.3501,,
2001-11-30,,3287.5601,,
2001-12-31,,3262.3301,,
2002-01-31,,3311.0300,,
2002-02-28,,3562.3101,,
2002-03-31,,3469.3501,,
2002-04-30,,3338.1599,,
2002-05-31,,3125.7300,,
2002-06-30,,3244.7000,,
2002-07-31,,2987.6499,,
2002-08-31,,3181.2300,,
2002-09-30,,2991.3601,,
2002-10-31,,2949.3201,,
2002-11-30,,3228.8201,,
2002-12-31,,3377.2800,,
2003-01-31,,3250.3799,,
2003-02-28,,3283.6599,,
2003-03-31,,3048.7200,,
2003-04-30,,2959.7900,,
2003-05-31,,3180.7500,,
2003-06-30,,3607.1299,,
2003-07-31,,3792.6101,,
2003-08-31,,4244.7300,,
2003-09-30,,4453.2402,,
2003-10-31,,4906.8701,,
2003-11-30,,5044.8198,,
2003-12-31,,5838.9600,,
2004-01-31,,5695.6699,,
2004-02-29,,5667.5098,,
2004-03-31,,5590.6001,,
2004-04-30,,5655.0898,,
2004-05-31,,4759.6201,,
2004-06-30,,4795.4600,,
2004-07-31,,5170.3198,,
2004-08-31,,5192.0801,,
2004-09-30,,5583.6099,,
2004-10-31,,5672.2700,,
2004-11-30,,6234.2900,,
2004-12-31,,6602.6899,,
2005-01-31,,6555.9399,,
2005-02-28,,6713.8599,,
2005-03-31,,6492.8198,,
2005-04-30,,6154.4399,,
2005-05-31,,6715.1099,,
2005-06-30,,7193.8501,,
2005-07-31,,7635.4199,,
2005-08-31,,7805.4302,,
2005-09-30,,8634.4805,,2273.9971
2005-10-31,,7892.3198,,2067.7974
2005-11-30,,8788.8096,,2306.1470
2005-12-31,,9397.9297,,2459.1968
2006-01-31,,9919.8896,,2585.9465
2006-02-28,,10370.2402,,2658.9465
2006-03-31,,11279.9600,,2910.3462
2006-04-30,,11851.9297,,3014.0962
2006-05-31,,10398.6104,,2635.2466
2006-06-30,,10609.2500,,2562.4966
2006-07-31,,10743.8799,,2562.5466
2006-08-31,,11699.0498,,2807.9463
2006-09-30,,12454.4199,,2988.2461
2006-10-31,,12961.9004,,3114.5459
2006-11-30,,13696.3096,,3280.4456
2006-12-31,,13786.9102,,3295.0457
2007-01-31,,14090.9199,,3393.0957
2007-02-28,,12938.0898,,3107.7458
2007-03-31,,13072.0996,,3145.3459
2007-04-30,,13872.3701,,3379.0957
2007-05-31,,14544.4600,,3563.6453
2007-06-30,,14650.5098,,3625.7454
2007-07-31,,15550.9902,,3783.8452
2007-08-31,,15318.5996,,3711.5452
2007-09-30,5021.3501,17291.0996,8042.1069,4188.5444
2007-10-31,5900.6499,19837.9902,9013.0459,4806.8438
2007-11-30,5762.7500,19363.1895,9375.6406,4869.5435
2007-12-31,6138.6001,20286.9902,9863.3359,5354.6934
2008-01-31,5137.4502,17648.7109,9226.1426,4348.9941
2008-02-29,5223.5000,17578.7207,8688.2490,4360.6943
